nombre,actividad_tipo,municipio_codigo,municipio_nombre,longitud,latitud,year
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2017-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2018-01-01
Zapateria Estilo,zapateria calzado,38028,Puerto de la Cruz,-16.54767436,28.41691739,2019-01-01
Zapateria El Toscal,zapateria calzado,38038,Santa Cruz de Tenerife,-16.24930301,28.47092891,2016-01-01
Zapateria El Martillo,zapateria calzado,38017,Granadilla de Abona,-16.55901,28.07940799,2016-01-01
Zapateria Cerrajeria Lugo,zapateria calzado taller,38023,La Laguna,-16.31745626,28.4897977,2016-01-01
Zapateria Cerrajeria Lugo,zapateria calzado taller,38023,La Laguna,-16.31745626,28.4897977,2018-01-01
Zapateria Cerrajeria Lugo,zapateria calzado taller,38023,La Laguna,-16.31745626,28.4897977,2017-01-01
Zapateria Carmen,zapateria calzado,38023,La Laguna,-16.315842,28.48530499,2018-01-01
Zapateria Carmen,zapateria calzado,38023,La Laguna,-16.315842,28.48530499,2017-01-01
Zapateria Carmen,zapateria calzado,38023,La Laguna,-16.315842,28.48530499,2016-01-01
Zapateria Carmen,zapateria calzado,38026,La Orotava,-16.52444419,28.3898505,2016-01-01
Zapateria Ajabo,zapateria calzado,38038,Santa Cruz de Tenerife,-16.256275,28.45880199,2016-01-01
Zapateria  Helens Complementos,zapateria calzado,38038,Santa Cruz de Tenerife,-16.25416908,28.46111847,2016-01-01
